trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.32354666304879,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.04583640383117,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.82532088552323,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.70465720783068,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.69845952819573,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.1193777169139,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.23650699982733,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.40944461529396,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.11157200325877,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.01321484555406,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.4481921545303,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.62398818280296,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.2960320170497,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,10,-69.17033751097162,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.08365926992613,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,9,-80.63097386801192,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.33930022276151,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.22708408037136,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.55997355902163,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.21522699488492,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.97485803598859,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-155.39630023755132,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.73850384308975,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.5772753789871,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.19769731602945,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-61.67105585104021,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.0309103189707,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.41668541270684,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.48927840219454,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.25448897163825,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
