trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-119.72728523407002,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-164.48679623176932,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-55.41205962654462,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-135.19511753346657,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-79.86263941244981,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-64.5592338835189,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,8,-37.92635877478014,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-113.12137310335949,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,2,-45.26674177755124,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-108.00823270087467,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-71.63501950952552,"{0: 27, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-46.8304274469146,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-5.4745911140161985,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,14,4.68936935474358,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,-67.87631820732204,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-42.555507481742424,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-66.62080520290479,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,-49.3067964460307,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,32.14599690259347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-21.544308184677416,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,1,-48.71742775517633,"{0: 25, 1: 1, 2: 0, 3: 2, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-120.46362016051341,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",35,0,-98.26379694972655,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-7.989948090737564,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-10.94373588902746,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,19,7.167571546976609,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,-56.73368640898152,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,4,19.691550416759615,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-108.80446039024775,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-46.958404703041815,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
