trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.071155349248485,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-144.48387136712861,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",35,14,-73.95758280641688,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",35,0,-203.15294954589925,"{0: 21, 1: 5, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-105.66118280411166,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-106.0237612308601,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,18,-0.2637570670935623,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-187.58474750945632,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-130.2771227514158,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-74.29373764131337,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-130.57499878826286,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-54.084359516882195,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-99.20672233638538,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-55.43147546643052,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,0,-132.147466469713,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-194.67682834681986,"{0: 19, 1: 2, 2: 3, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,5,-147.28756422015576,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-119.99878288931265,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-151.63220026796873,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-176.85043105139377,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",35,0,-164.28533232767236,"{0: 20, 1: 5, 2: 8, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,11,-103.91634255687788,"{0: 7, 1: 0, 2: 4, 3: 2, 4: 1}",1
